what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1339409278854
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1339409278926
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339409280744
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339409280824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409288383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409298933
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339409298975
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339409301475
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1339409301624
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1339409301675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339409301707
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1339409313684
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1339409314227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339409315905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409408027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409690440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409704913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409767389
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339409767417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409771456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409907699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409909799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409909805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339409910031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339410432703
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339410432744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339410474205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339410480534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339410544949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339410547879
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1339410549021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339410549242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339410553196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339410599784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339410607981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411343209
activated,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1339411343239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411491946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411737782
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339411737802
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1339411737872
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411738209
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411738258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339411752720
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411754642
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1339411758643
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411758711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411773305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411798025
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339411798072
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411799170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339411808075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411810606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411825935
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339411825963
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339411826368
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339411826425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411864356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411924323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339411924497
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339411924497
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411925315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339411926249
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411926249
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411928457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339411930197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411941383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411966847
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339411966892
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411967289
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339411967338
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339411981320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339411984620
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339411988651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339411990836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412011893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339412015032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412017651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412020253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339412021468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412023483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412037308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339412111119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412143012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412147725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339412150435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412154691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412159869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412178242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412185376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339412187422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339412188914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412199321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412205271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412207384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412229572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339412232774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339412234109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412247341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412255804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339412274619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412275564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412279499
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1339412283367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339412295877
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1339412300394
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339412304171
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339412308095
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1339412309795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339412311929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412344306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412354910
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1339412367963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412368934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412370336
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1339412374612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412375461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412375630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339412382108
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339412392723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412397553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412399279
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1339412399313
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1339412399374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339412401035
